# PyMovie Version 3.2.9
# source: J:\OCCULTATION-DATA\2020-07-29\Jabbah\2020-07-29-1718_2 (2).ser
#
# lunar background: False
# yellow mask = default: False
#
# aperture name: Jabbah
# ____ aperture size: 51
# ____ x,y: (317, 354)
# ____ threshold: 10
# ____ def mask radius: 3.2
# ____ color: red
# ____ joggable: False
# ____ auto textOut: False
# ____ thumbnail source: False
# ____ csv output order: 4
#
# aperture name: ref
# ____ aperture size: 51
# ____ x,y: (529, 65)
# ____ threshold: 8
# ____ def mask radius: 3.2
# ____ color: yellow
# ____ joggable: True
# ____ auto textOut: True
# ____ thumbnail source: True
# ____ csv output order: 5
#
# date at frame 0: 2020-7-29
# Begin SER meta-data =====================
# FileID: LUCAM-RECORDER
# LuID: 4660
# ColorID: 0
# LittleEndian: 0
# ImageWidth: 640
# ImageHeight: 640
# PixelDepthPerPlane: 8
# FrameCount: 13105
# NumTimestamps: 13105.0
# Observer: Observer                                
# Instrument: QHY174M                                 
# Telescope: telescope                               
# DateTimeLocal: 2020-7-30T00:17:22.0719081
# DateTimeUTC: 2020-7-29T17:17:22.0719081
# End SER meta-data =====================
FrameNum,timeInfo,signal-Jabbah,signal-ref,appsum-Jabbah,avgbkg-Jabbah,stdbkg-Jabbah,nmaskpx-Jabbah,maxpx-Jabbah,xcentroid-Jabbah,ycentroid-Jabbah,appsum-ref,avgbkg-ref,stdbkg-ref,nmaskpx-ref,maxpx-ref,xcentroid-ref,ycentroid-ref
4432.00,[17:17:58.9825868],3323.00,269.00,5104.00,32.99,4.65,54,255,314.30,355.63,500.00,16.50,3.25,14,80,529.07,67.36
4433.00,[17:17:58.9906432],2834.00,247.00,4408.00,32.79,4.61,48,255,314.25,356.00,476.00,16.37,3.13,14,70,529.50,67.29
4434.00,[17:17:58.9986996],2818.00,164.00,4423.00,32.75,4.67,49,255,314.24,355.92,327.00,16.25,3.16,10,50,529.20,67.00
4435.00,[17:17:59.0068772],3525.00,136.00,5390.00,32.71,4.59,57,255,314.26,356.19,741.00,16.34,3.22,-37,36,529.00,67.00
4436.00,[17:17:59.0149335],3352.00,130.00,5257.00,32.84,4.54,58,255,314.00,356.03,741.00,16.52,3.09,-37,40,529.00,67.00
4437.00,[17:17:59.0229899],2787.00,115.00,4465.00,32.90,4.67,51,255,313.53,355.57,719.00,16.32,3.18,-37,67,529.00,67.00
4438.00,[17:17:59.0310463],2423.00,133.00,4095.00,32.78,4.71,51,255,313.71,355.55,744.00,16.51,3.18,-37,65,529.00,67.00
4439.00,[17:17:59.0391027],2413.00,176.00,3954.00,32.79,4.45,47,255,313.66,355.23,779.00,16.30,3.29,-37,62,529.00,67.00
4440.00,[17:17:59.0793845],2362.00,149.00,3902.00,32.77,4.56,47,255,313.87,355.43,756.00,16.40,3.15,-37,42,529.00,67.00
4441.00,[17:17:59.0874409],2464.00,70.00,4103.00,32.78,4.65,50,255,313.88,355.38,678.00,16.43,3.16,-37,32,529.00,67.00
4442.00,[17:17:59.0954973],2532.00,156.00,4162.00,32.60,4.64,50,255,313.58,355.34,767.00,16.52,3.19,-37,48,529.00,67.00
4443.00,[17:17:59.1035537],2782.00,208.00,4615.00,32.73,4.72,56,255,313.46,355.43,404.00,16.37,3.16,12,67,529.58,66.25
4444.00,[17:17:59.1116101],3203.00,184.00,5277.00,32.92,4.71,63,255,313.16,355.46,790.00,16.37,3.14,-37,62,530.00,66.00
4445.00,[17:17:59.1196664],2450.00,218.00,4055.00,32.76,4.58,49,255,313.76,355.16,431.00,16.41,3.22,13,48,529.38,66.62
4446.00,[17:17:59.1277228],1925.00,176.00,3276.00,32.94,4.48,41,255,313.63,355.49,356.00,16.37,3.24,11,55,528.82,66.55
4447.00,[17:17:59.1357792],1983.00,206.00,3534.00,32.99,4.77,47,255,313.51,355.91,386.00,16.34,3.18,11,63,528.91,66.64
4448.00,[17:17:59.1438356],2459.00,134.00,4036.00,32.86,4.77,48,255,313.25,356.00,742.00,16.42,3.15,-37,48,529.00,67.00
4449.00,[17:17:59.1518919],2832.00,81.00,4512.00,32.94,4.65,51,255,313.57,355.96,690.00,16.46,3.12,-37,32,529.00,67.00
4450.00,[17:17:59.1599483],2896.00,152.00,4670.00,32.85,4.57,54,255,313.78,356.48,761.00,16.46,3.17,-37,55,529.00,67.00
4451.00,[17:17:59.1680047],2896.00,193.00,4777.00,33.01,4.77,57,255,313.77,355.82,374.00,16.43,3.17,11,81,528.36,67.09
4452.00,[17:17:59.1760611],3506.00,173.00,5448.00,32.92,4.54,59,255,313.93,355.53,775.00,16.27,3.21,-37,65,528.00,67.00
4453.00,[17:17:59.1841174],4240.00,193.00,6330.00,33.17,4.61,63,255,313.94,355.54,796.00,16.29,3.24,-37,52,528.00,67.00
4454.00,[17:17:59.1921738],3985.00,148.00,6003.00,33.08,4.71,61,255,313.97,355.51,751.00,16.31,3.11,-37,47,528.00,67.00
4455.00,[17:17:59.2002302],3195.00,182.00,4868.00,32.81,4.61,51,255,314.31,354.96,789.00,16.40,3.22,-37,40,528.00,67.00
4456.00,[17:17:59.2082866],2577.00,84.00,4153.00,32.84,4.54,48,255,314.50,354.71,696.00,16.55,3.23,-37,33,528.00,67.00
4457.00,[17:17:59.2163429],2969.00,103.00,4745.00,32.89,4.58,54,255,314.46,354.61,711.00,16.44,3.21,-37,42,528.00,67.00
4458.00,[17:17:59.2243993],3023.00,127.00,5067.00,32.96,4.72,62,255,314.37,355.34,732.00,16.35,3.18,-37,46,528.00,67.00
4459.00,[17:17:59.2324557],2949.00,182.00,4786.00,32.80,4.65,56,255,314.25,355.57,788.00,16.38,3.22,-37,55,528.00,67.00
4460.00,[17:17:59.2405121],3374.00,184.00,5525.00,33.09,4.62,65,255,314.23,355.82,792.00,16.44,3.20,-37,50,528.00,67.00
4461.00,[17:17:59.2485684],2276.00,169.00,3785.00,32.81,4.65,46,255,314.11,355.63,772.00,16.29,3.15,-37,52,528.00,67.00
4462.00,[17:17:59.2566248],1721.00,225.00,3071.00,32.92,4.65,41,255,313.76,356.00,422.00,16.38,3.16,12,79,529.25,66.58
4463.00,[17:17:59.2646812],1977.00,297.00,3384.00,32.72,4.61,43,255,313.16,356.19,560.00,16.41,3.25,16,71,529.12,65.94
4464.00,[17:17:59.2727376],2288.00,226.00,3780.00,32.44,4.60,46,255,313.00,356.20,406.00,16.35,3.17,11,93,529.18,65.18
4465.00,[17:17:59.2807940],2784.00,154.00,4382.00,32.62,4.72,49,255,313.24,355.98,301.00,16.35,3.18,9,57,529.11,65.33
4466.00,[17:17:59.2888503],3564.00,119.00,5518.00,32.57,4.69,60,255,312.95,355.63,722.00,16.31,3.23,-37,42,529.00,65.00
4467.00,[17:17:59.2969067],3795.00,202.00,5767.00,32.86,4.61,60,255,313.25,355.67,801.00,16.18,3.17,-37,56,529.00,65.00
4468.00,[17:17:59.3049631],4665.00,158.00,6925.00,32.76,4.77,69,255,313.52,355.59,306.00,16.39,3.18,9,48,529.67,66.11
4469.00,[17:17:59.3130195],4232.00,203.00,6365.00,32.82,4.57,65,255,313.94,355.26,808.00,16.36,3.29,-37,40,530.00,66.00
4470.00,[17:17:59.3210758],3851.00,149.00,5767.00,32.47,4.70,59,255,314.03,355.27,753.00,16.33,3.21,-37,42,530.00,66.00
4471.00,[17:17:59.3291322],3335.00,122.00,5269.00,32.78,4.52,59,255,314.07,355.47,727.00,16.35,3.19,-37,34,530.00,66.00
4472.00,[17:17:59.3371886],3122.00,199.00,4888.00,32.70,4.66,54,255,314.39,355.61,379.00,16.37,3.26,11,56,529.36,65.91
4473.00,[17:17:59.3452450],3050.00,157.00,4783.00,32.70,4.63,53,255,314.42,355.68,304.00,16.35,3.25,9,49,529.33,65.89
4474.00,[17:17:59.3533013],2554.00,130.00,4192.00,32.75,4.60,50,255,313.92,355.92,732.00,16.26,3.14,-37,38,529.00,66.00
4475.00,[17:17:59.3613577],2227.00,34.00,3735.00,32.78,4.60,46,255,313.52,355.83,636.00,16.26,3.25,-37,31,529.00,66.00
4476.00,[17:17:59.3694141],2917.00,35.00,4582.00,32.65,4.66,51,255,313.71,355.55,645.00,16.48,3.20,-37,28,529.00,66.00
4477.00,[17:17:59.3774705],3719.00,132.00,5686.00,32.78,4.58,60,255,313.67,355.32,738.00,16.37,3.18,-37,45,529.00,66.00
4478.00,[17:17:59.3855268],3264.00,142.00,5170.00,32.86,4.60,58,255,313.47,355.14,747.00,16.36,3.21,-37,44,529.00,66.00
4479.00,[17:17:59.3935832],3344.00,153.00,5146.00,32.76,4.47,55,255,313.36,354.75,759.00,16.36,3.24,-37,34,529.00,66.00
4480.00,[17:17:59.4016396],2844.00,121.00,4485.00,32.81,4.62,50,255,313.56,354.56,723.00,16.26,3.15,-37,30,529.00,66.00
4481.00,[17:17:59.4096960],3196.00,174.00,4972.00,32.90,4.53,54,255,313.87,354.48,783.00,16.45,3.24,-37,38,529.00,66.00
4482.00,[17:17:59.4177523],3642.00,169.00,5778.00,32.87,4.74,65,255,313.71,354.62,775.00,16.38,3.27,-37,48,529.00,66.00
4483.00,[17:17:59.4258087],4048.00,188.00,6236.00,33.15,4.74,66,255,314.30,354.42,795.00,16.41,3.21,-37,47,529.00,66.00
4484.00,[17:17:59.4338651],4068.00,167.00,6243.00,32.96,4.70,66,255,314.74,354.55,331.00,16.40,3.19,10,51,529.20,66.00
4485.00,[17:17:59.4419215],4379.00,183.00,6500.00,32.62,4.79,65,255,314.88,354.58,362.00,16.24,3.22,11,58,529.18,66.45
4486.00,[17:17:59.4499779],4449.00,170.00,6801.00,33.13,4.67,71,255,315.37,354.93,772.00,16.28,3.11,-37,37,529.00,66.00
4487.00,[17:17:59.4580342],3913.00,173.00,5991.00,32.98,4.65,63,255,315.11,355.33,777.00,16.31,3.14,-37,43,529.00,66.00
4488.00,[17:17:59.4660906],3394.00,145.00,5362.00,32.80,4.57,60,255,315.02,355.62,750.00,16.36,3.27,-37,32,529.00,66.00
4489.00,[17:17:59.4741470],3001.00,149.00,4742.00,32.84,4.69,53,255,314.77,355.45,758.00,16.46,3.11,-37,40,529.00,66.00
4490.00,[17:17:59.4822034],3676.00,124.00,5773.00,32.77,4.74,64,255,314.59,355.30,737.00,16.57,3.19,-37,40,529.00,66.00
4491.00,[17:17:59.4902597],3738.00,194.00,5665.00,32.65,4.66,59,255,314.27,355.27,800.00,16.38,3.15,-37,49,529.00,66.00
4492.00,[17:17:59.4983161],3716.00,181.00,5819.00,32.86,4.53,64,255,314.22,355.17,378.00,16.45,3.25,12,56,530.25,66.58
4493.00,[17:17:59.5063725],3216.00,212.00,4974.00,32.55,4.63,54,255,314.04,354.70,819.00,16.41,3.21,-37,39,530.00,67.00
4494.00,[17:17:59.5144289],4086.00,188.00,6101.00,33.03,4.59,61,255,314.66,354.54,367.00,16.30,3.17,11,43,529.36,66.91
4495.00,[17:17:59.5224852],4920.00,383.00,7393.00,32.97,4.61,75,255,315.23,354.44,693.00,16.30,3.22,19,68,529.00,66.63
4496.00,[17:17:59.5305416],4470.00,168.00,6924.00,33.16,4.65,74,255,314.92,354.07,314.00,16.22,3.18,9,50,528.89,66.78
4497.00,[17:17:59.5385980],3581.00,97.00,5621.00,32.90,4.61,62,255,314.76,353.63,703.00,16.39,3.17,-37,33,529.00,67.00
4498.00,[17:17:59.5466544],2880.00,67.00,4558.00,32.91,4.59,51,255,314.41,354.10,670.00,16.30,3.13,-37,28,529.00,67.00
4499.00,[17:17:59.5547107],3109.00,76.00,5056.00,32.99,4.58,59,255,314.97,354.07,678.00,16.26,3.19,-37,29,529.00,67.00
4500.00,[17:17:59.5627671],3124.00,119.00,5044.00,33.11,4.62,58,255,314.86,354.40,727.00,16.42,3.26,-37,35,529.00,67.00
4501.00,[17:17:59.5708235],3036.00,202.00,4769.00,32.70,4.68,53,255,315.06,354.55,808.00,16.39,3.25,-37,45,529.00,67.00
4502.00,[17:17:59.5788799],2640.00,169.00,4118.00,32.84,4.58,45,255,315.07,354.44,773.00,16.33,3.28,-37,46,529.00,67.00
4503.00,[17:17:59.5869363],1785.00,119.00,3070.00,32.96,4.67,39,255,315.10,354.36,731.00,16.53,3.19,-37,44,529.00,67.00
4504.00,[17:17:59.5949926],2250.00,165.00,3805.00,33.09,4.72,47,255,315.36,354.26,770.00,16.35,3.15,-37,71,529.00,67.00
4505.00,[17:17:59.6030490],3098.00,180.00,5081.00,33.06,4.66,60,255,315.02,354.13,327.00,16.37,3.17,9,99,529.00,67.00
4506.00,[17:17:59.6111054],2837.00,211.00,4718.00,32.99,4.60,57,255,314.93,355.04,358.00,16.32,3.18,9,86,529.00,67.00
4507.00,[17:17:59.6191618],3232.00,181.00,5176.00,32.95,4.70,59,255,314.53,355.00,327.00,16.23,3.21,9,78,528.67,67.11
4508.00,[17:17:59.6272181],4573.00,166.00,6886.00,33.05,4.72,70,255,314.81,354.83,778.00,16.54,3.17,-37,55,529.00,67.00
4509.00,[17:17:59.6352745],4871.00,147.00,7340.00,32.92,4.70,75,255,314.39,354.87,751.00,16.32,3.18,-37,35,529.00,67.00
4510.00,[17:17:59.6433309],4543.00,132.00,6960.00,33.10,4.67,73,255,314.36,354.85,734.00,16.28,3.14,-37,35,529.00,67.00
4511.00,[17:17:59.6513873],4061.00,151.00,6406.00,33.03,4.76,71,255,314.61,355.10,299.00,16.45,3.23,9,56,529.00,67.00
4512.00,[17:17:59.6594436],4115.00,197.00,6530.00,33.08,4.81,73,255,314.66,355.44,806.00,16.45,3.13,-37,48,529.00,67.00
4513.00,[17:17:59.6675000],3821.00,181.00,6239.00,33.12,4.82,73,255,315.04,355.93,347.00,16.59,3.16,10,50,528.50,67.00
4514.00,[17:17:59.6755564],3074.00,211.00,4889.00,33.00,4.69,55,255,315.33,355.44,424.00,16.40,3.18,13,63,528.62,67.38
4515.00,[17:17:59.6836128],4687.00,256.00,7199.00,33.06,4.87,76,255,315.38,355.39,468.00,16.30,3.24,13,94,528.62,67.38
4516.00,[17:17:59.6916691],5313.00,233.00,8157.00,33.07,4.76,86,255,315.88,355.42,413.00,16.38,3.21,11,89,529.00,67.00
4517.00,[17:17:59.6997255],3962.00,206.00,6110.00,33.04,4.62,65,255,315.48,355.18,402.00,16.37,3.16,12,58,529.33,67.08
4518.00,[17:17:59.7077819],3129.00,194.00,4997.00,32.78,4.59,57,255,315.37,354.84,358.00,16.37,3.20,10,51,529.50,67.20
4519.00,[17:17:59.7158383],3226.00,190.00,5279.00,33.11,4.84,62,255,315.29,354.92,369.00,16.30,3.26,11,59,529.64,67.09
4520.00,[17:17:59.7238947],2852.00,325.00,4603.00,33.05,4.67,53,255,314.74,355.28,558.00,16.63,3.15,14,85,529.36,67.29
4521.00,[17:17:59.7319510],2598.00,328.00,4285.00,33.08,4.64,51,255,314.78,355.45,605.00,16.28,3.13,17,96,529.06,67.18
4522.00,[17:17:59.7400074],2377.00,300.00,3784.00,32.72,4.66,43,255,315.12,355.12,527.00,16.19,3.20,14,94,529.29,66.86
4523.00,[17:17:59.7480638],2833.00,276.00,4502.00,32.72,4.66,51,255,314.57,355.22,507.00,16.47,3.25,14,71,529.50,66.71
4524.00,[17:17:59.7561202],3443.00,210.00,5221.00,32.93,4.64,54,255,314.39,355.39,390.00,16.40,3.28,11,61,529.36,66.91
