# PyMovie Version 3.6.3
# source: D:/#Okultasi/DATA PENGAMATAN/2022-08-07/Sao184555/21_30_30
#
# lunar background: False
# yellow mask = default: False
#
# aperture name: obj
# ____ aperture size: 31
# ____ x,y: (361, 400)
# ____ threshold: 3010
# ____ def mask radius: 3.2
# ____ color: yellow
# ____ joggable: True
# ____ auto textOut: True
# ____ thumbnail source: True
# ____ csv output order: 1
#
# date at frame 0: 2022-08-07
FrameNum,timeInfo,signal-obj,appsum-obj,avgbkg-obj,stdbkg-obj,nmaskpx-obj,maxpx-obj,xcentroid-obj,ycentroid-obj
2501.00,[14:31:20.7269980],59845.00,1192176.00,30603.53,1495.24,-37,38768,373.00,395.00
2502.00,[14:31:20.7470934],45838.00,1177712.00,30591.18,1527.82,-37,38320,373.00,395.00
2503.00,[14:31:20.7671888],54117.00,1184944.00,30562.89,1550.52,-37,37648,373.00,395.00
2504.00,[14:31:20.7872842],74622.00,1209216.00,30664.70,1494.73,-37,43056,373.00,395.00
2505.00,[14:31:20.8073796],49582.00,1181264.00,30585.99,1554.49,-37,41616,373.00,395.00
2506.00,[14:31:20.8274751],50743.00,1183536.00,30616.03,1529.01,-37,37392,373.00,395.00
2507.00,[14:31:20.8475705],40452.00,1172528.00,30596.65,1530.33,-37,35968,373.00,395.00
2508.00,[14:31:20.8676659],46118.00,1181424.00,30683.95,1589.95,-37,37904,373.00,395.00
2509.00,[14:31:20.8877614],28980.00,1160976.00,30594.48,1543.45,-37,35648,373.00,395.00
2510.00,[14:31:20.9078568],45526.00,1177232.00,30586.66,1662.45,-37,36992,373.00,395.00
2511.00,[14:31:20.9279522],32587.00,1161632.00,30514.72,1532.78,-37,38576,373.00,395.00
2512.00,[14:31:20.9480477],31257.00,1164768.00,30635.44,1549.76,-37,37296,373.00,395.00
2513.00,[14:31:20.9681431],37375.00,1169904.00,30608.88,1535.19,-37,36384,373.00,395.00
2514.00,[14:31:20.9882386],57434.00,1190592.00,30625.88,1561.03,-37,36896,373.00,395.00
2515.00,[14:31:21.0083285],44065.00,1178800.00,30668.52,1531.95,-37,36480,373.00,395.00
2516.00,[14:31:21.0284240],73758.00,1207968.00,30654.34,1656.34,-37,37392,373.00,395.00
2517.00,[14:31:21.0485194],56650.00,1192944.00,30710.66,1625.66,-37,37296,373.00,395.00
2518.00,[14:31:21.0686149],47334.00,1181344.00,30648.92,1527.86,-37,36480,373.00,395.00
2519.00,[14:31:21.0887103],33589.00,1167440.00,30644.63,1513.60,-37,36544,373.00,395.00
2520.00,[14:31:21.1088058],50651.00,1183040.00,30605.12,1603.51,-37,36832,373.00,395.00
2521.00,[14:31:21.1289012],40265.00,1170352.00,30542.88,1533.59,-37,35296,373.00,395.00
2522.00,[14:31:21.1489966],31122.00,1165760.00,30665.90,1568.28,-37,37712,373.00,395.00
2523.00,[14:31:21.1690921],34438.00,1166880.00,30606.53,1461.31,-37,36512,373.00,395.00
2524.00,[14:31:21.1891875],60692.00,1195120.00,30660.21,1552.05,-37,36288,373.00,395.00
2525.00,[14:31:21.2092829],69486.00,1203024.00,30636.18,1522.37,-37,40656,373.00,395.00
2526.00,[14:31:21.2293784],36232.00,1166752.00,30554.59,1528.43,-37,36672,373.00,395.00
2527.00,[14:31:21.2494738],37997.00,1174192.00,30707.96,1546.07,-37,36288,373.00,395.00
2528.00,[14:31:21.2695692],48577.00,1182512.00,30646.89,1584.14,-37,36064,373.00,395.00
2529.00,[14:31:21.2896646],36912.00,1172832.00,30700.55,1585.00,-37,38448,373.00,395.00
2530.00,[14:31:21.3097600],53068.00,1185184.00,30597.73,1555.74,-37,39536,373.00,395.00
2531.00,[14:31:21.3298554],49469.00,1184640.00,30680.30,1519.86,-37,38128,373.00,395.00
2532.00,[14:31:21.3499508],60507.00,1194416.00,30646.20,1584.58,-37,39216,373.00,395.00
2533.00,[14:31:21.3700462],69781.00,1206560.00,30723.75,1571.90,-37,38416,373.00,395.00
2534.00,[14:31:21.3901417],40874.00,1172992.00,30597.78,1529.21,-37,36928,373.00,395.00
2535.00,[14:31:21.4102370],65467.00,1200816.00,30685.12,1563.20,-37,40752,373.00,395.00
2536.00,[14:31:21.4303324],70827.00,1201744.00,30565.32,1545.15,-37,39760,373.00,395.00
2537.00,[14:31:21.4504278],69205.00,1201104.00,30591.87,1538.20,-37,37968,373.00,395.00
2538.00,[14:31:21.4705232],63129.00,1197104.00,30647.97,1570.11,-37,37776,373.00,395.00
2539.00,[14:31:21.4906186],50776.00,1184144.00,30631.56,1530.96,-37,36768,373.00,395.00
2540.00,[14:31:21.5107140],36971.00,1169328.00,30604.24,1483.98,-37,36000,373.00,395.00
2541.00,[14:31:21.5308094],45037.00,1180256.00,30681.59,1559.95,-37,37392,373.00,395.00
2542.00,[14:31:21.5509048],57209.00,1193200.00,30702.45,1553.10,-37,37680,373.00,395.00
