FrameNum,timeInfo,signal-target
2977.00,[12:57:00.4841],328150
2978.00,[12:57:00.5041],331130
2979.00,[12:57:00.5241],369717
2980.00,[12:57:00.5442],380963
2981.00,[12:57:00.5642],463044
2982.00,[12:57:00.5843],364293
2983.00,[12:57:00.6043],367602
2984.00,[12:57:00.6243],408565
2985.00,[12:57:00.6444],425954
2986.00,[12:57:00.6644],392445
2987.00,[12:57:00.6844],456230
2988.00,[12:57:00.7045],425771
2989.00,[12:57:00.7245],412821
2990.00,[12:57:00.7446],396508
2991.00,[12:57:00.7646],395055
2992.00,[12:57:00.7846],419533
2993.00,[12:57:00.8047],382444
2994.00,[12:57:00.8247],396457
2995.00,[12:57:00.8448],507341
2996.00,[12:57:00.8648],379577
2997.00,[12:57:00.8848],350885
2998.00,[12:57:00.9049],332061
2999.00,[12:57:00.9249],311240
3000.00,[12:57:00.9449],327802
3001.00,[12:57:00.9650],359456
3002.00,[12:57:00.9850],379836
3003.00,[12:57:01.0051],426643
3004.00,[12:57:01.0251],387496
3005.00,[12:57:01.0451],424683
3006.00,[12:57:01.0652],456853
3007.00,[12:57:01.0852],358592
3008.00,[12:57:01.1053],425823
3009.00,[12:57:01.1253],414972
3010.00,[12:57:01.1453],407179
3011.00,[12:57:01.1654],445173
3012.00,[12:57:01.1854],393741
3013.00,[12:57:01.2055],438168
3014.00,[12:57:01.2255],434454
3015.00,[12:57:01.2455],436572
3016.00,[12:57:01.2656],438874
3017.00,[12:57:01.2856],380013
3018.00,[12:57:01.3056],338369
3019.00,[12:57:01.3257],376083
3020.00,[12:57:01.3457],369201
3021.00,[12:57:01.3658],405760
3022.00,[12:57:01.3858],438903
3023.00,[12:57:01.4058],382268
3024.00,[12:57:01.4259],375274
3025.00,[12:57:01.4459],391866
3026.00,[12:57:01.4660],369579
3027.00,[12:57:01.4860],427546
3028.00,[12:57:01.5060],406902
3029.00,[12:57:01.5261],460417
3030.00,[12:57:01.5461],329774
3031.00,[12:57:01.5661],284419
3032.00,[12:57:01.5862],354173
3033.00,[12:57:01.6062],339744
3034.00,[12:57:01.6263],382690
3035.00,[12:57:01.6463],401378
3036.00,[12:57:01.6663],367730
3037.00,[12:57:01.6864],353169
3038.00,[12:57:01.7064],384486
3039.00,[12:57:01.7265],349320
3040.00,[12:57:01.7465],340665
3041.00,[12:57:01.7665],355178
3042.00,[12:57:01.7866],258071
3043.00,[12:57:01.8066],275264
3044.00,[12:57:01.8267],346893
3045.00,[12:57:01.8467],348111
3046.00,[12:57:01.8667],331741
3047.00,[12:57:01.8868],419002
3048.00,[12:57:01.9068],363022
3049.00,[12:57:01.9268],407854
3050.00,[12:57:01.9469],351114
3051.00,[12:57:01.9669],330597
