FrameNum,timeInfo,signal-obj,appsum-obj,avgbkg-obj,stdbkg-obj,nmaskpx-obj,maxpx-obj,xcentroid-obj,ycentroid-obj
7256.00,[12:30:23.1137826],19661.00,36784.00,1317.15,399.17,13,5072,198.38,143.62
7257.00,[12:30:23.1218830],16490.00,32416.00,1327.18,380.31,12,3840,198.08,145.75
7258.00,[12:30:23.1299835],15059.00,29440.00,1307.32,387.20,11,3744,198.09,144.91
7259.00,[12:30:23.1380840],16964.00,31200.00,1294.18,391.97,11,4528,198.91,144.36
7260.00,[12:30:23.1461844],14819.00,28960.00,1285.58,414.49,11,3776,198.73,144.18
7261.00,[12:30:23.1542849],15866.00,64160.00,1305.25,396.47,-37,4064,199.00,144.00
7262.00,[12:30:23.1623854],13697.00,61696.00,1297.28,404.92,-37,2912,199.00,144.00
7263.00,[12:30:23.1704858],11147.00,60416.00,1331.59,383.79,-37,3872,199.00,144.00
7264.00,[12:30:23.1785863],12823.00,61248.00,1308.78,390.23,-37,3840,199.00,144.00
7265.00,[12:30:23.1866868],11675.00,60928.00,1331.15,396.92,-37,3104,199.00,144.00
7266.00,[12:30:23.1947872],15365.00,63488.00,1300.62,399.34,-37,3296,199.00,144.00
7267.00,[12:30:23.2028877],9850.00,58112.00,1304.38,391.84,-37,3200,199.00,144.00
7268.00,[12:30:23.2109882],13271.00,61440.00,1301.88,385.19,-37,2752,199.00,144.00
7269.00,[12:30:23.2190887],15718.00,64416.00,1316.17,399.02,-37,4128,199.00,144.00
7270.00,[12:30:23.2271891],16565.00,66128.00,1339.53,390.47,-37,4400,199.00,144.00
7271.00,[12:30:23.2352896],14465.00,26176.00,1301.22,392.60,9,4192,198.33,144.11
7272.00,[12:30:23.2433901],16496.00,65056.00,1312.43,397.06,-37,3712,198.00,144.00
7273.00,[12:30:23.2514906],11141.00,59456.00,1305.80,396.50,-37,3456,198.00,144.00
7274.00,[12:30:23.2595911],14691.00,63088.00,1308.03,391.98,-37,4432,198.00,144.00
7275.00,[12:30:23.2676915],15136.00,63584.00,1309.40,413.40,-37,2976,198.00,144.00
7276.00,[12:30:23.2757920],20436.00,69856.00,1335.67,412.57,-37,3840,198.00,144.00
7277.00,[12:30:23.2838925],16127.00,65440.00,1332.78,405.10,-37,3360,198.00,144.00
7278.00,[12:30:23.2919930],16853.00,64736.00,1294.13,414.05,-37,3104,198.00,144.00
7279.00,[12:30:23.3000935],11021.00,57920.00,1267.55,410.40,-37,2752,198.00,144.00
7280.00,[12:30:23.3081940],19240.00,67456.00,1303.15,406.44,-37,4064,198.00,144.00
7281.00,[12:30:23.3162945],19864.00,68512.00,1314.80,398.53,-37,4096,198.00,144.00
7282.00,[12:30:23.3243949],18621.00,33296.00,1334.09,396.64,11,5232,198.64,144.09
7283.00,[12:30:23.3324954],19613.00,69200.00,1340.20,406.95,-37,4400,199.00,144.00
7284.00,[12:30:23.3405959],8980.00,57440.00,1309.72,389.42,-37,3008,199.00,144.00
7285.00,[12:30:23.3486964],12733.00,59552.00,1265.38,395.28,-37,2560,199.00,144.00
7286.00,[12:30:23.3567969],4913.00,52384.00,1283.00,386.97,-37,2720,199.00,144.00
7287.00,[12:30:23.3648974],2945.00,50880.00,1295.55,370.31,-37,2592,199.00,144.00
7288.00,[12:30:23.3729979],2719.00,50272.00,1285.23,391.05,-37,2464,199.00,144.00
7289.00,[12:30:23.3810984],-586.00,48000.00,1313.13,380.67,-37,2560,199.00,144.00
7290.00,[12:30:23.3891989],1792.00,50016.00,1303.34,388.33,-37,2688,199.00,144.00
7291.00,[12:30:23.3972994],1986.00,49056.00,1272.17,367.41,-37,2304,199.00,144.00
7292.00,[12:30:23.4053999],801.00,48096.00,1278.24,378.47,-37,2560,199.00,144.00
7293.00,[12:30:23.4135004],2278.00,50496.00,1303.18,379.25,-37,2560,199.00,144.00
7294.00,[12:30:23.4216009],2798.00,50944.00,1301.24,382.28,-37,2720,199.00,144.00
7295.00,[12:30:23.4297014],3930.00,51296.00,1280.15,377.23,-37,2592,199.00,144.00
7296.00,[12:30:23.4378019],6417.00,54240.00,1292.52,382.29,-37,2496,199.00,144.00
7297.00,[12:30:23.4459024],3537.00,51872.00,1306.36,375.81,-37,2752,199.00,144.00
7298.00,[12:30:23.4540030],3514.00,51872.00,1306.97,381.34,-37,2496,199.00,144.00
7299.00,[12:30:23.4621035],2637.00,50816.00,1302.14,372.91,-37,2624,199.00,144.00
7300.00,[12:30:23.4702040],-1900.00,46752.00,1314.93,383.39,-37,2528,199.00,144.00
7301.00,[12:30:23.4783045],2744.00,50976.00,1303.58,371.27,-37,2560,199.00,144.00
7302.00,[12:30:23.4864050],2946.00,51648.00,1316.26,383.96,-37,2592,199.00,144.00
7303.00,[12:30:23.4945055],1055.00,48640.00,1286.08,377.64,-37,2656,199.00,144.00
7304.00,[12:30:23.5026060],1319.00,48640.00,1278.95,392.67,-37,2432,199.00,144.00
7305.00,[12:30:23.5107065],1298.00,49408.00,1300.28,385.39,-37,3008,199.00,144.00
7306.00,[12:30:23.5188071],-1618.00,46880.00,1310.77,375.32,-37,2528,199.00,144.00
7307.00,[12:30:23.5269076],1668.00,48864.00,1275.55,376.02,-37,2688,199.00,144.00
7308.00,[12:30:23.5350081],-162.00,47680.00,1293.02,396.04,-37,2592,199.00,144.00
7309.00,[12:30:23.5431086],1224.00,47968.00,1263.35,378.23,-37,2592,199.00,144.00
7310.00,[12:30:23.5512091],2515.00,50912.00,1308.04,385.60,-37,2816,199.00,144.00
7311.00,[12:30:23.5593097],4747.00,51808.00,1271.91,385.12,-37,2688,199.00,144.00
7312.00,[12:30:23.5674102],1207.00,50080.00,1320.89,410.55,-37,2688,199.00,144.00
7313.00,[12:30:23.5755107],3912.00,52000.00,1299.66,375.30,-37,2624,199.00,144.00
7314.00,[12:30:23.5836112],3593.00,50784.00,1275.44,364.56,-37,2368,199.00,144.00
7315.00,[12:30:23.5917117],2046.00,49408.00,1280.07,377.47,-37,2560,199.00,144.00
7316.00,[12:30:23.5998123],188.00,46944.00,1263.68,391.39,-37,2464,199.00,144.00
7317.00,[12:30:23.6079128],1204.00,48288.00,1272.54,392.85,-37,2464,199.00,144.00
7318.00,[12:30:23.6160133],1573.00,50112.00,1311.87,375.68,-37,2464,199.00,144.00
7319.00,[12:30:23.6241139],-778.00,46880.00,1288.04,381.51,-37,2432,199.00,144.00
7320.00,[12:30:23.6322144],446.00,48640.00,1302.54,391.62,-37,2656,199.00,144.00
7321.00,[12:30:23.6403149],3054.00,51456.00,1308.17,376.08,-37,2464,199.00,144.00
7322.00,[12:30:23.6484155],-2339.00,45888.00,1303.44,371.70,-37,2752,199.00,144.00
7323.00,[12:30:23.6565160],1020.00,47808.00,1264.55,390.56,-37,2560,199.00,144.00
7324.00,[12:30:23.6646165],3723.00,51968.00,1303.93,379.95,-37,2528,199.00,144.00
7325.00,[12:30:23.6727171],-284.00,47904.00,1302.38,384.96,-37,2720,199.00,144.00
7326.00,[12:30:23.6808176],3367.00,50880.00,1284.13,397.55,-37,2496,199.00,144.00
7327.00,[12:30:23.6889181],2853.00,52128.00,1331.75,385.50,-37,2560,199.00,144.00
7328.00,[12:30:23.6970187],3338.00,50400.00,1271.94,383.13,-37,2400,199.00,144.00
7329.00,[12:30:23.7051192],3551.00,52064.00,1311.17,369.36,-37,2624,199.00,144.00
7330.00,[12:30:23.7132198],489.00,49664.00,1329.05,388.60,-37,2464,199.00,144.00
7331.00,[12:30:23.7213203],-2294.00,46272.00,1312.60,401.21,-37,2400,199.00,144.00
7332.00,[12:30:23.7294208],2524.00,49792.00,1277.50,404.11,-37,2592,199.00,144.00
7333.00,[12:30:23.7375214],-1344.00,46144.00,1283.45,374.12,-37,2560,199.00,144.00
7334.00,[12:30:23.7456219],-4149.00,43200.00,1279.70,384.02,-37,2496,199.00,144.00
7335.00,[12:30:23.7537225],5313.00,53760.00,1309.37,396.37,-37,2528,199.00,144.00
7336.00,[12:30:23.7618230],1326.00,49696.00,1307.30,385.73,-37,2592,199.00,144.00
7337.00,[12:30:23.7699236],-446.00,46272.00,1262.65,387.90,-37,2400,199.00,144.00
7338.00,[12:30:23.7780241],2893.00,50592.00,1289.16,387.25,-37,2528,199.00,144.00
7339.00,[12:30:23.7861247],-2427.00,46048.00,1310.14,371.23,-37,2496,199.00,144.00
7340.00,[12:30:23.7942252],912.00,49664.00,1317.63,392.31,-37,2720,199.00,144.00
7341.00,[12:30:23.8023258],-2391.00,45536.00,1295.32,383.44,-37,2432,199.00,144.00
7342.00,[12:30:23.8104263],-2143.00,46400.00,1311.97,383.29,-37,2368,199.00,144.00
7343.00,[12:30:23.8185269],-1332.00,47392.00,1316.88,378.42,-37,2624,199.00,144.00
7344.00,[12:30:23.8266275],1844.00,49632.00,1291.55,369.55,-37,2560,199.00,144.00
7345.00,[12:30:23.8347280],4819.00,53152.00,1306.31,399.09,-37,2496,199.00,144.00
7346.00,[12:30:23.8428286],3118.00,50848.00,1289.99,384.33,-37,2496,199.00,144.00
7347.00,[12:30:23.8509291],-2486.00,45600.00,1299.61,391.68,-37,2752,199.00,144.00
7348.00,[12:30:23.8590297],2783.00,51008.00,1303.38,372.46,-37,2592,199.00,144.00
7349.00,[12:30:23.8671303],142.00,49440.00,1332.38,370.48,-37,2464,199.00,144.00
7350.00,[12:30:23.8752308],1906.00,49920.00,1297.66,385.20,-37,2688,199.00,144.00
7351.00,[12:30:23.8833314],1986.00,49024.00,1271.31,400.39,-37,2784,199.00,144.00
7352.00,[12:30:23.8914319],2200.00,50592.00,1307.89,389.96,-37,2656,199.00,144.00
7353.00,[12:30:23.8995325],4235.00,52736.00,1310.83,378.92,-37,2496,199.00,144.00
7354.00,[12:30:23.9076331],4977.00,52640.00,1288.19,390.18,-37,2432,199.00,144.00
7355.00,[12:30:23.9157336],6559.00,54816.00,1304.24,375.96,-37,2464,199.00,144.00
7356.00,[12:30:23.9238342],6248.00,55520.00,1331.68,368.37,-37,2432,199.00,144.00
7357.00,[12:30:23.9319348],-3230.00,44672.00,1294.65,384.60,-37,2496,199.00,144.00
7358.00,[12:30:23.9400354],2001.00,48704.00,1262.25,375.55,-37,2528,199.00,144.00
7359.00,[12:30:23.9481359],2815.00,51264.00,1309.44,388.84,-37,2880,199.00,144.00
7360.00,[12:30:23.9562365],8.00,47104.00,1272.87,379.60,-37,2592,199.00,144.00
7361.00,[12:30:23.9643371],-1249.00,46624.00,1293.85,386.80,-37,2848,199.00,144.00
7362.00,[12:30:23.9724377],3274.00,51872.00,1313.47,383.78,-37,2464,199.00,144.00
7363.00,[12:30:23.9805382],-1907.00,46112.00,1297.80,376.42,-37,2560,199.00,144.00
7364.00,[12:30:23.9886388],1166.00,47744.00,1258.86,393.37,-37,2624,199.00,144.00
7365.00,[12:30:23.9967394],2676.00,50208.00,1284.66,382.61,-37,2496,199.00,144.00
7366.00,[12:30:24.0048451],-1177.00,47680.00,1320.46,383.21,-37,2624,199.00,144.00
7367.00,[12:30:24.0129457],2992.00,51488.00,1310.70,370.38,-37,2496,199.00,144.00
7368.00,[12:30:24.0210462],3634.00,51680.00,1298.53,411.15,-37,2752,199.00,144.00
7369.00,[12:30:24.0291468],4575.00,52704.00,1300.78,393.11,-37,2560,199.00,144.00
7370.00,[12:30:24.0372474],3660.00,52032.00,1307.34,381.13,-37,2464,199.00,144.00
7371.00,[12:30:24.0453480],1868.00,49088.00,1276.22,404.39,-37,2720,199.00,144.00
7372.00,[12:30:24.0534486],2052.00,49888.00,1292.85,385.38,-37,2720,199.00,144.00
7373.00,[12:30:24.0615492],-1481.00,46464.00,1295.82,378.13,-37,2624,199.00,144.00
7374.00,[12:30:24.0696498],1515.00,49216.00,1289.22,388.51,-37,2624,199.00,144.00
7375.00,[12:30:24.0777504],3122.00,51264.00,1301.14,380.45,-37,2592,199.00,144.00
7376.00,[12:30:24.0858509],-1290.00,47104.00,1307.93,386.54,-37,2976,199.00,144.00
7377.00,[12:30:24.0939515],-90.00,48832.00,1322.22,397.20,-37,2656,199.00,144.00
7378.00,[12:30:24.1020521],90.00,48256.00,1301.78,381.65,-37,2816,199.00,144.00
7379.00,[12:30:24.1101527],1518.00,50656.00,1328.05,378.88,-37,2784,199.00,144.00
7380.00,[12:30:24.1182533],5301.00,52480.00,1275.11,397.90,-37,2560,199.00,144.00
7381.00,[12:30:24.1263539],2093.00,49536.00,1282.23,377.33,-37,2432,199.00,144.00
7382.00,[12:30:24.1344545],1906.00,50048.00,1301.14,382.39,-37,2496,199.00,144.00
7383.00,[12:30:24.1425551],5607.00,54656.00,1325.65,382.82,-37,2752,199.00,144.00
7384.00,[12:30:24.1506557],4053.00,52288.00,1303.64,376.21,-37,2528,199.00,144.00
7385.00,[12:30:24.1587563],2558.00,51072.00,1311.20,384.40,-37,2496,199.00,144.00
7386.00,[12:30:24.1668569],2230.00,48992.00,1263.83,387.59,-37,2592,199.00,144.00
7387.00,[12:30:24.1749575],-4003.00,44320.00,1306.04,374.25,-37,2464,199.00,144.00
7388.00,[12:30:24.1830582],-698.00,47264.00,1296.28,394.47,-37,2656,199.00,144.00
7389.00,[12:30:24.1911588],1117.00,49952.00,1319.86,381.31,-37,2432,199.00,144.00
7390.00,[12:30:24.1992594],-5868.00,43808.00,1342.60,396.94,-37,2624,199.00,144.00
