FrameNum,timeInfo,signal-obj,appsum-obj,avgbkg-obj,stdbkg-obj,nmaskpx-obj,maxpx-obj,xcentroid-obj,ycentroid-obj
5000.00,[13:45:10.2013390],95143.00,535552.00,20971.88,1283.77,21,32384,359.19,202.38
5001.00,[13:45:10.2114387],74148.00,450992.00,20935.77,1289.02,18,30880,359.78,202.72
5002.00,[13:45:10.2215383],72501.00,408000.00,20968.68,1305.09,16,33696,359.38,202.81
5003.00,[13:45:10.2316380],95052.00,515200.00,21007.38,1317.24,20,35296,359.40,203.30
5004.00,[13:45:10.2417377],59529.00,332096.00,20966.67,1302.76,13,30048,359.69,202.62
5005.00,[13:45:10.2518373],60155.00,312128.00,20997.77,1299.74,12,31168,359.83,202.58
5006.00,[13:45:10.2619370],69961.00,843840.00,20915.66,1314.30,-37,32448,360.00,203.00
5007.00,[13:45:10.2720367],57105.00,287632.00,20956.99,1295.36,11,31808,359.09,202.91
5008.00,[13:45:10.2821363],90458.00,509392.00,20946.72,1290.59,20,32800,358.70,202.90
5009.00,[13:45:10.2922360],67381.00,381712.00,20955.40,1330.11,15,28720,358.80,203.20
5010.00,[13:45:10.3023357],62013.00,313056.00,20920.25,1279.10,12,33024,359.33,201.33
5011.00,[13:45:10.3124354],71575.00,344016.00,20957.01,1291.89,13,32768,359.00,201.54
5012.00,[13:45:10.3225350],51248.00,302592.00,20945.35,1301.50,12,29664,359.08,201.67
5013.00,[13:45:10.3326347],74289.00,409152.00,20928.97,1282.04,16,29152,359.00,202.69
5014.00,[13:45:10.3427344],48361.00,258544.00,21018.34,1294.83,10,30464,360.00,201.50
5015.00,[13:45:10.3528341],111856.00,551984.00,20958.48,1289.99,21,33632,359.24,202.57
5016.00,[13:45:10.3629338],58360.00,268368.00,21000.79,1306.98,10,35744,359.80,202.00
5017.00,[13:45:10.3730334],61376.00,313168.00,20982.68,1310.42,12,31744,359.58,202.25
5018.00,[13:45:10.3831331],50272.00,280832.00,20960.01,1315.32,11,28928,359.73,202.18
5019.00,[13:45:10.3932328],52739.00,324992.00,20942.55,1289.13,13,31840,359.38,201.62
5020.00,[13:45:10.4033325],70099.00,384592.00,20966.19,1285.56,15,31776,359.20,202.00
5021.00,[13:45:10.4134322],76712.00,391088.00,20958.42,1313.28,15,35136,359.40,202.13
5022.00,[13:45:10.4235319],75289.00,369232.00,20995.94,1257.22,14,34368,359.07,202.21
5023.00,[13:45:10.4336316],68593.00,362432.00,20988.47,1271.37,14,33504,358.93,202.21
5024.00,[13:45:10.4437313],81319.00,395696.00,20958.46,1299.31,15,33984,359.13,201.93
5025.00,[13:45:10.4538309],42702.00,231200.00,20944.25,1326.91,9,29952,359.11,201.78
5026.00,[13:45:10.4639306],64825.00,839536.00,20938.13,1266.41,-37,31904,359.00,202.00
5027.00,[13:45:10.4740303],74369.00,452576.00,21011.52,1333.04,18,30240,358.06,202.67
5028.00,[13:45:10.4841300],86143.00,443168.00,21001.46,1278.07,17,32768,357.76,202.53
5029.00,[13:45:10.4942297],67788.00,361984.00,21013.99,1298.25,14,33792,358.14,202.43
5030.00,[13:45:10.5043294],95608.00,536224.00,20981.69,1271.50,21,31936,357.95,203.29
5031.00,[13:45:10.5144291],68513.00,404656.00,21008.92,1290.50,16,32544,358.38,202.81
5032.00,[13:45:10.5245288],62697.00,356192.00,20963.96,1306.45,14,32160,358.36,203.36
5033.00,[13:45:10.5346285],98113.00,538064.00,20950.06,1284.54,21,33024,358.24,203.43
5034.00,[13:45:10.5447282],84397.00,482928.00,20975.30,1303.79,19,33792,358.32,203.26
5035.00,[13:45:10.5548280],67774.00,383040.00,21017.75,1358.25,15,34080,358.33,202.87
5036.00,[13:45:10.5649277],40124.00,228912.00,20976.46,1292.13,9,30880,358.67,201.89
5037.00,[13:45:10.5750274],78381.00,414144.00,20985.17,1310.53,16,31296,358.25,202.31
5038.00,[13:45:10.5851271],86388.00,505760.00,20968.60,1293.27,20,32128,357.90,203.10
5039.00,[13:45:10.5952268],73253.00,450480.00,20957.08,1317.01,18,30496,358.22,202.39
5040.00,[13:45:10.6053265],50268.00,280992.00,20974.87,1324.04,11,34240,358.09,201.18
5041.00,[13:45:10.6154262],79217.00,456608.00,20966.15,1323.26,18,29984,358.17,202.56
5042.00,[13:45:10.6255259],80936.00,479744.00,20989.91,1310.66,19,29632,358.47,202.37
5043.00,[13:45:10.6356257],62506.00,377408.00,20993.43,1330.59,15,32192,358.60,202.47
5044.00,[13:45:10.6457254],47001.00,298576.00,20964.61,1285.17,12,31744,358.75,202.33
5045.00,[13:45:10.6558251],54232.00,284928.00,20972.41,1267.01,11,29600,358.91,201.36
5046.00,[13:45:10.6659248],55777.00,308320.00,21045.26,1279.40,12,30720,358.33,202.33
5047.00,[13:45:10.6760247],77814.00,434032.00,20954.02,1279.74,17,31968,359.00,202.00
5048.00,[13:45:10.6861243],94106.00,535456.00,21016.66,1306.81,21,31008,358.29,202.62
5049.00,[13:45:10.6962240],91194.00,531280.00,20956.46,1319.98,21,31744,358.29,202.71
5050.00,[13:45:10.7063237],62102.00,355872.00,20983.60,1317.65,14,27760,358.14,202.43
5051.00,[13:45:10.7164235],67229.00,361200.00,20997.91,1321.45,14,31616,358.21,202.71
5052.00,[13:45:10.7265232],95017.00,493024.00,20947.73,1282.39,19,37840,358.11,203.00
5053.00,[13:45:10.7366229],88386.00,465600.00,20956.31,1271.85,18,39792,358.39,202.83
5054.00,[13:45:10.7467227],90049.00,446416.00,20962.78,1278.01,17,35008,358.82,202.94
5055.00,[13:45:10.7568224],100070.00,498048.00,20946.23,1303.92,19,33088,358.89,202.84
5056.00,[13:45:10.7669221],91810.00,490128.00,20964.13,1326.90,19,31616,359.05,202.79
5057.00,[13:45:10.7770219],61455.00,354816.00,20954.33,1295.02,14,28304,358.57,202.71
5058.00,[13:45:10.7871216],57635.00,309488.00,20987.76,1289.01,12,33952,359.33,202.33
5059.00,[13:45:10.7972214],62667.00,355984.00,20951.25,1301.63,14,35744,359.50,202.50
5060.00,[13:45:10.8073211],75158.00,432448.00,21017.08,1277.86,17,33088,358.94,202.41
5061.00,[13:45:10.8174208],55774.00,307312.00,20961.51,1300.47,12,29184,358.58,202.42
5062.00,[13:45:10.8275206],62971.00,335904.00,20994.83,1335.97,13,32864,359.08,202.62
5063.00,[13:45:10.8376203],73256.00,387440.00,20945.57,1274.89,15,28112,358.27,202.80
5064.00,[13:45:10.8477201],65911.00,339184.00,21020.99,1297.64,13,31072,358.31,202.77
5065.00,[13:45:10.8578198],91699.00,511168.00,20973.47,1306.31,20,30560,358.55,202.40
5066.00,[13:45:10.8679196],96293.00,473936.00,20980.17,1309.40,18,39888,358.83,202.11
5067.00,[13:45:10.8780193],62584.00,314784.00,21016.67,1305.85,12,39152,358.83,201.58
5068.00,[13:45:10.8881191],98404.00,497184.00,20988.43,1310.75,19,40496,358.63,202.05
5069.00,[13:45:10.8982188],94028.00,514112.00,21004.22,1300.70,20,32192,358.95,202.30
