FrameNum,timeInfo,signal-stack,appsum-stack,avgbkg-stack,stdbkg-stack,nmaskpx-stack,maxpx-stack,xcentroid-stack,ycentroid-stack
6400.00,[12:52:05.8441552],43742.00,2562192.00,31091.98,1580.61,-81,37056,316.00,200.00
6401.00,[12:52:05.8542547],53859.00,2565840.00,31012.12,1631.07,-81,38448,316.00,200.00
6402.00,[12:52:05.8643543],69091.00,2587088.00,31086.39,1610.62,-81,36032,316.00,200.00
6403.00,[12:52:05.8744538],82940.00,2594160.00,31002.71,1669.31,-81,40016,316.00,200.00
6404.00,[12:52:05.8845533],24076.00,2539872.00,31059.21,1590.84,-81,35744,316.00,200.00
6405.00,[12:52:05.8946529],82912.00,2601008.00,31087.60,1708.25,-81,38608,316.00,200.00
6406.00,[12:52:05.9047524],59741.00,2570720.00,30999.74,1607.80,-81,37392,316.00,200.00
6407.00,[12:52:05.9148519],64525.00,2584304.00,31108.38,1696.59,-81,37904,316.00,200.00
6408.00,[12:52:05.9249515],80179.00,2592432.00,31015.47,1616.89,-81,38416,316.00,200.00
6409.00,[12:52:05.9350510],68789.00,2579920.00,31001.62,1626.07,-81,40048,316.00,200.00
6410.00,[12:52:05.9451506],88723.00,2607312.00,31093.69,1615.25,-81,36608,316.00,200.00
6411.00,[12:52:05.9552501],73518.00,2586880.00,31029.16,1626.15,-81,36864,316.00,200.00
6412.00,[12:52:05.9653496],107509.00,2616880.00,30979.89,1649.93,-81,44208,316.00,200.00
6413.00,[12:52:05.9754492],76460.00,2586224.00,30984.74,1613.43,-81,44976,316.00,200.00
6414.00,[12:52:05.9855487],86068.00,2593952.00,30961.54,1569.75,-81,45760,316.00,200.00
6415.00,[12:52:05.9956483],41270.00,2555072.00,31034.59,1653.25,-81,37424,316.00,200.00
6416.00,[12:52:06.0057605],62466.00,2574848.00,31017.06,1593.33,-81,43120,316.00,200.00
6417.00,[12:52:06.0158601],34693.00,2552368.00,31082.41,1583.28,-81,37200,316.00,200.00
6418.00,[12:52:06.0259596],71215.00,2587936.00,31070.63,1604.76,-81,40336,316.00,200.00
6419.00,[12:52:06.0360592],47076.00,2559696.00,31020.00,1530.37,-81,37968,316.00,200.00
6420.00,[12:52:06.0461587],56402.00,2563776.00,30955.23,1611.84,-81,40208,316.00,200.00
6421.00,[12:52:06.0562583],54608.00,2567552.00,31024.00,1660.71,-81,37616,316.00,200.00
6422.00,[12:52:06.0663579],89457.00,2608032.00,31093.52,1655.18,-81,40304,316.00,200.00
6423.00,[12:52:06.0764574],50691.00,2566416.00,31058.33,1693.36,-81,37488,316.00,200.00
6424.00,[12:52:06.0865570],54271.00,2568368.00,31038.24,1561.98,-81,37520,316.00,200.00
6425.00,[12:52:06.0966565],70696.00,2582224.00,31006.51,1624.62,-81,39600,316.00,200.00
6426.00,[12:52:06.1067561],83950.00,2592256.00,30966.74,1626.93,-81,39088,316.00,200.00
6427.00,[12:52:06.1168557],68898.00,2585328.00,31067.03,1625.83,-81,42768,316.00,200.00
6428.00,[12:52:06.1269552],89151.00,2597360.00,30965.54,1632.37,-81,42576,316.00,200.00
6429.00,[12:52:06.1370548],105891.00,2611952.00,30939.02,1629.98,-81,39696,316.00,200.00
6430.00,[12:52:06.1471544],72776.00,2586992.00,31039.70,1643.30,-81,35584,316.00,200.00
6431.00,[12:52:06.1572539],41557.00,2553264.00,31008.73,1593.68,-81,38448,316.00,200.00
6432.00,[12:52:06.1673535],58856.00,2568512.00,30983.41,1632.88,-81,39504,316.00,200.00
6433.00,[12:52:06.1774531],46318.00,2560480.00,31039.03,1514.45,-81,39568,316.00,200.00
6434.00,[12:52:06.1875526],80435.00,2587376.00,30949.88,1702.37,-81,38928,316.00,200.00
6435.00,[12:52:06.1976522],52285.00,2555328.00,30901.76,1620.58,-81,37520,316.00,200.00
6436.00,[12:52:06.2077518],87332.00,2603808.00,31067.60,1676.73,-81,38832,316.00,200.00
6437.00,[12:52:06.2178514],73692.00,2582352.00,30971.11,1621.27,-81,35712,316.00,200.00
6438.00,[12:52:06.2279509],33609.00,2540784.00,30952.77,1593.38,-81,36576,316.00,200.00
6439.00,[12:52:06.2380505],58284.00,2569824.00,31006.67,1569.53,-81,42384,316.00,200.00
6440.00,[12:52:06.2481501],84991.00,2596720.00,31009.00,1615.53,-81,39408,316.00,200.00
6441.00,[12:52:06.2582497],35744.00,2544240.00,30969.09,1675.16,-81,36640,316.00,200.00
6442.00,[12:52:06.2683493],66775.00,2573968.00,30952.99,1606.75,-81,39504,316.00,200.00
6443.00,[12:52:06.2784489],75116.00,479520.00,31107.98,1641.11,13,41104,316.62,202.62
6444.00,[12:52:06.2885484],73588.00,2593200.00,31106.32,1713.60,-81,39600,317.00,203.00
6445.00,[12:52:06.2986480],95013.00,2611936.00,31073.12,1641.20,-81,40272,317.00,203.00
6446.00,[12:52:06.3087476],63598.00,2576000.00,31017.31,1608.56,-81,41200,317.00,203.00
6447.00,[12:52:06.3188472],77710.00,2598032.00,31115.09,1644.06,-81,39792,317.00,203.00
6448.00,[12:52:06.3289468],42408.00,2560272.00,31084.75,1569.65,-81,40464,317.00,203.00
6449.00,[12:52:06.3390464],62040.00,2574976.00,31023.90,1666.95,-81,43856,317.00,203.00
6450.00,[12:52:06.3491460],42599.00,2559008.00,31066.78,1644.07,-81,39632,317.00,203.00
6451.00,[12:52:06.3592456],88763.00,2599056.00,30991.27,1703.26,-81,39856,317.00,203.00
6452.00,[12:52:06.3693452],89426.00,2600560.00,31001.65,1674.02,-81,42576,317.00,203.00
6453.00,[12:52:06.3794448],63033.00,2580016.00,31073.87,1615.90,-81,42064,317.00,203.00
6454.00,[12:52:06.3895444],55108.00,2570224.00,31050.82,1662.04,-81,38448,317.00,203.00
6455.00,[12:52:06.3996440],63142.00,2578480.00,31053.55,1656.26,-81,39984,317.00,203.00
