FrameNum,timeInfo,signal-obj,appsum-obj,avgbkg-obj,stdbkg-obj,nmaskpx-obj,maxpx-obj,xcentroid-obj,ycentroid-obj
2700.00,[11:58:54.4622588],109748.00,138272.00,713.10,857.97,40,9184,364.57,273.90
2701.00,[11:58:54.4825041],167147.00,219008.00,797.85,968.92,65,10672,365.57,272.72
2702.00,[11:58:54.5022252],219629.00,279456.00,842.64,979.27,71,9792,366.10,272.14
2703.00,[11:58:54.5223053],188359.00,236960.00,747.71,878.53,65,9552,365.32,272.91
2704.00,[11:58:54.5422359],114788.00,151488.00,764.58,894.20,48,9184,365.50,273.71
2705.00,[11:58:54.5626303],83856.00,108608.00,750.05,874.88,33,6944,364.00,271.18
2706.00,[11:58:54.5822128],37770.00,48912.00,696.38,826.75,16,12896,363.94,269.69
2707.00,[11:58:54.6024954],53317.00,152288.00,664.24,806.41,-149,6576,364.00,270.00
2708.00,[11:58:54.6223227],29853.00,123696.00,629.82,753.44,-149,7568,364.00,270.00
2709.00,[11:58:54.6423724],122688.00,230736.00,725.15,844.76,-149,8432,364.00,270.00
2710.00,[11:58:54.6624978],41902.00,56208.00,715.31,814.78,20,10784,368.95,283.90
2711.00,[11:58:54.6824299],43055.00,139872.00,649.78,748.94,-149,9552,369.00,284.00
2712.00,[11:58:54.7025910],78024.00,180576.00,688.27,792.62,-149,11904,369.00,284.00
2713.00,[11:58:54.7225114],24542.00,31264.00,672.24,806.70,10,8800,367.30,270.10
2714.00,[11:58:54.7422764],65291.00,161968.00,648.84,744.50,-149,6944,367.00,270.00
2715.00,[11:58:54.7624834],71921.00,173008.00,678.43,800.90,-149,10176,367.00,270.00
2716.00,[11:58:54.7824908],171893.00,222656.00,746.52,849.50,68,9680,361.56,286.03
2717.00,[11:58:54.8025312],164137.00,213472.00,725.51,848.21,68,8800,362.57,283.28
2718.00,[11:58:54.8224270],115377.00,146432.00,739.40,872.06,42,7200,363.40,282.93
2719.00,[11:58:54.8422695],78969.00,99936.00,635.35,762.97,33,8432,363.97,282.55
2720.00,[11:58:54.8624258],61362.00,82784.00,714.08,863.42,30,11776,366.60,272.60
2721.00,[11:58:54.8822724],84149.00,115456.00,728.07,847.11,43,8688,365.44,280.58
2722.00,[11:58:54.9023864],110820.00,212112.00,679.81,789.91,-149,10912,366.00,281.00
2723.00,[11:58:54.9223518],86230.00,184704.00,660.90,782.88,-149,9056,366.00,281.00
2724.00,[11:58:54.9425500],28993.00,122400.00,626.89,743.64,-149,6320,366.00,281.00
2725.00,[11:58:54.9625383],20718.00,113440.00,622.29,741.56,-149,9920,366.00,281.00
2726.00,[11:58:54.9822424],49818.00,147360.00,654.64,765.21,-149,9056,366.00,281.00
2727.00,[11:58:55.0022479],30157.00,38192.00,669.56,774.84,12,6704,363.17,286.00
2728.00,[11:58:55.0222303],90518.00,115104.00,702.45,826.73,35,8560,365.86,274.00
2729.00,[11:58:55.0422332],247410.00,322752.00,753.42,887.38,100,7568,366.01,279.82
2730.00,[11:58:55.0622010],96967.00,125392.00,728.86,870.37,39,9680,368.44,273.67
2731.00,[11:58:55.0822445],22276.00,28784.00,650.82,770.27,10,9424,367.70,269.20
2732.00,[11:58:55.1021562],25384.00,116032.00,608.38,716.00,-149,6816,368.00,269.00
2733.00,[11:58:55.1222433],31795.00,43184.00,669.97,780.06,17,6944,364.18,283.71
2734.00,[11:58:55.1424729],291190.00,377344.00,762.42,891.86,113,7568,365.14,280.27
2735.00,[11:58:55.1626347],123790.00,161184.00,719.11,848.00,52,8064,365.75,273.17
2736.00,[11:58:55.1823062],27532.00,126112.00,661.61,756.20,-149,10288,366.00,273.00
2737.00,[11:58:55.2025274],23419.00,29680.00,695.68,797.46,9,7440,368.00,285.00
2738.00,[11:58:55.2222458],61379.00,77424.00,668.56,783.52,24,7568,372.21,270.79
2739.00,[11:58:55.2422970],50427.00,146880.00,647.33,758.77,-149,8064,372.00,271.00
2740.00,[11:58:55.2624274],49475.00,147584.00,658.45,765.40,-149,9552,372.00,271.00
2741.00,[11:58:55.2825131],61797.00,77552.00,685.01,783.39,23,8304,360.43,286.91
2742.00,[11:58:55.3025184],78291.00,181312.00,691.42,805.53,-149,9424,360.00,287.00
2743.00,[11:58:55.3224621],134065.00,168400.00,746.40,878.47,46,8928,364.96,285.02
2744.00,[11:58:55.3425202],29999.00,37984.00,725.87,827.44,11,11904,360.36,282.18
