FrameNum,timeInfo,signal-obj,signal-track,appsum-obj,avgbkg-obj,stdbkg-obj,nmaskpx-obj,maxpx-obj,xcentroid-obj,ycentroid-obj,appsum-track,avgbkg-track,stdbkg-track,nmaskpx-track,maxpx-track,xcentroid-track,ycentroid-track
8891.00,[14:05:00.2176500],-12664.00,33084.00,438336.00,12189.19,3263.69,-37,25008,383.00,425.00,425008.00,10592.55,902.80,-37,15872,205.00,152.00
8892.00,[14:05:00.2277497],-1794.00,36307.00,451344.00,12246.98,3283.59,-37,23376,383.00,425.00,427424.00,10570.72,831.49,-37,17056,205.00,152.00
8893.00,[14:05:00.2378493],-3395.00,34479.00,450320.00,12262.58,3268.65,-37,24080,383.00,425.00,423856.00,10523.69,890.96,-37,17024,205.00,152.00
8894.00,[14:05:00.2479490],-2199.00,42952.00,451568.00,12263.98,3287.40,-37,23696,383.00,425.00,435984.00,10622.48,902.92,-37,18240,205.00,152.00
8895.00,[14:05:00.2580486],-2129.00,25859.00,450288.00,12227.50,3242.99,-37,24400,383.00,425.00,121344.00,10609.40,900.93,9,18304,205.11,152.33
8896.00,[14:05:00.2681482],691.00,36351.00,453072.00,12226.51,3244.82,-37,23312,383.00,425.00,427680.00,10576.47,828.19,-37,19680,205.00,152.00
8897.00,[14:05:00.2782479],4666.00,41781.00,444592.00,11889.90,3780.03,-37,24208,384.00,426.00,169408.00,10635.57,908.48,12,21136,205.50,152.50
8898.00,[14:05:00.2883476],11606.00,42431.00,452128.00,11906.00,3788.25,-37,24144,384.00,426.00,436736.00,10656.90,874.12,-37,17792,206.00,153.00
8899.00,[14:05:00.2984472],2678.00,37892.00,441328.00,11855.40,3815.54,-37,23856,384.00,425.00,155104.00,10655.60,912.93,11,19008,205.64,152.09
8900.00,[14:05:00.3085469],11553.00,48293.00,449520.00,11836.95,3772.67,-37,23344,384.00,425.00,442752.00,10661.06,922.92,-37,17472,206.00,152.00
8901.00,[14:05:00.3186465],4787.00,32025.00,456816.00,12216.99,3264.57,-37,24272,383.00,426.00,138192.00,10616.74,884.78,10,16640,205.00,152.50
8902.00,[14:05:00.3287462],914.00,44459.00,452688.00,12210.11,3226.76,-37,23984,383.00,426.00,439312.00,10671.72,929.63,-37,20976,205.00,153.00
8903.00,[14:05:00.3388458],-7740.00,41159.00,445376.00,12246.38,3278.82,-37,23408,383.00,426.00,432096.00,10565.87,902.00,-37,15936,205.00,153.00
8904.00,[14:05:00.3489455],-7450.00,44782.00,445456.00,12240.72,3201.70,-37,23120,383.00,426.00,438240.00,10634.01,907.37,-37,15264,205.00,153.00
8905.00,[14:05:00.3590452],-3163.00,39723.00,449808.00,12242.45,3263.94,-37,23248,383.00,426.00,431904.00,10599.49,895.85,-37,15808,205.00,153.00
8906.00,[14:05:00.3691448],-15004.00,41758.00,438688.00,12261.94,3267.13,-37,24208,383.00,426.00,433520.00,10588.15,896.35,-37,14944,205.00,153.00
8907.00,[14:05:00.3792445],3537.00,37739.00,455040.00,12202.79,3214.23,-37,23024,383.00,426.00,431920.00,10653.55,892.14,-37,14944,205.00,153.00
8908.00,[14:05:00.3893441],-4883.00,36357.00,448784.00,12261.28,3238.20,-37,24144,383.00,426.00,428480.00,10597.92,886.73,-37,15232,205.00,153.00
8909.00,[14:05:00.3994438],-2303.00,41897.00,451152.00,12255.55,3259.90,-37,23664,383.00,426.00,434624.00,10614.26,903.68,-37,16192,205.00,153.00
8910.00,[14:05:00.4095435],-4477.00,31142.00,449920.00,12281.01,3206.46,-37,23152,383.00,426.00,424896.00,10642.00,872.04,-37,16032,205.00,153.00
8911.00,[14:05:00.4196431],9478.00,27986.00,462592.00,12246.33,3287.00,-37,24464,383.00,426.00,421392.00,10632.60,914.28,-37,15264,205.00,153.00
8912.00,[14:05:00.4297428],-2039.00,37605.00,449264.00,12197.38,3240.09,-37,23600,383.00,426.00,429520.00,10592.28,862.14,-37,19936,205.00,153.00
8913.00,[14:05:00.4398425],-11499.00,45881.00,438624.00,12165.49,3222.31,-37,23536,383.00,426.00,438416.00,10609.05,900.60,-37,20128,205.00,153.00
8914.00,[14:05:00.4499422],4529.00,42041.00,456896.00,12226.13,3248.04,-37,23792,383.00,426.00,437040.00,10675.65,870.62,-37,15904,205.00,153.00
8915.00,[14:05:00.4600418],5806.00,37242.00,461344.00,12311.83,3246.96,-37,23792,383.00,426.00,430224.00,10621.15,905.32,-37,15552,205.00,153.00
8916.00,[14:05:00.4701415],-5321.00,41467.00,447344.00,12234.19,3228.73,-37,23440,383.00,426.00,432272.00,10562.29,904.81,-37,16736,205.00,153.00
8917.00,[14:05:00.4802412],1795.00,34015.00,454880.00,12245.54,3252.77,-37,23120,383.00,426.00,425984.00,10593.77,884.09,-37,16000,205.00,153.00
8918.00,[14:05:00.4903409],-5899.00,32848.00,448032.00,12268.40,3264.18,-37,23664,383.00,426.00,425664.00,10616.64,922.70,-37,14208,205.00,153.00
8919.00,[14:05:00.5004405],-5563.00,40323.00,448096.00,12261.04,3234.75,-37,23760,383.00,426.00,434592.00,10655.92,928.66,-37,16128,205.00,153.00
8920.00,[14:05:00.5105402],-10156.00,36216.00,441968.00,12219.57,3245.22,-37,23472,383.00,426.00,428688.00,10607.35,922.66,-37,14784,205.00,153.00
8921.00,[14:05:00.5206399],-9152.00,45247.00,447376.00,12338.60,3264.39,-37,24240,383.00,426.00,438256.00,10621.86,871.09,-37,17088,205.00,153.00
8922.00,[14:05:00.5307396],-10526.00,36119.00,444304.00,12292.71,3249.11,-37,23792,383.00,426.00,427664.00,10582.29,899.96,-37,15040,205.00,153.00
8923.00,[14:05:00.5408393],-3400.00,37257.00,452272.00,12315.45,3346.39,-37,24336,383.00,426.00,430064.00,10616.41,926.29,-37,14880,205.00,153.00
8924.00,[14:05:00.5509390],3332.00,50023.00,456656.00,12252.00,3261.77,-37,23344,383.00,426.00,443232.00,10627.26,882.39,-37,15360,205.00,153.00
8925.00,[14:05:00.5610387],-5540.00,46745.00,450272.00,12319.23,3305.21,-37,24048,383.00,426.00,440016.00,10628.94,930.61,-37,18240,205.00,153.00
8926.00,[14:05:00.5711383],5626.00,38010.00,459120.00,12256.60,3177.80,-37,23280,383.00,426.00,431936.00,10646.65,893.30,-37,16992,205.00,153.00
8927.00,[14:05:00.5812380],-7616.00,26673.00,444304.00,12214.04,3231.29,-37,24048,383.00,425.00,121984.00,10590.15,942.55,9,17248,205.33,152.11
8928.00,[14:05:00.5913377],-4591.00,28996.00,449248.00,12265.92,3261.69,-37,23632,383.00,425.00,422624.00,10638.60,910.93,-37,14304,205.00,152.00
8929.00,[14:05:00.6014374],-235.00,30851.00,453760.00,12270.14,3259.93,-37,23856,383.00,425.00,426336.00,10688.78,869.73,-37,15520,205.00,152.00
8930.00,[14:05:00.6115371],-5512.00,26854.00,449136.00,12287.78,3282.65,-37,23056,383.00,425.00,122240.00,10598.46,855.17,9,15328,205.00,152.00
8931.00,[14:05:00.6216368],-4909.00,35781.00,448480.00,12253.75,3255.10,-37,24112,383.00,425.00,428080.00,10602.69,880.58,-37,16224,205.00,152.00
8932.00,[14:05:00.6317365],-8030.00,27274.00,444608.00,12233.46,3237.60,-37,24976,383.00,425.00,122528.00,10583.72,910.83,9,18048,205.00,152.00
8933.00,[14:05:00.6418362],-5807.00,45833.00,446912.00,12235.64,3212.59,-37,23088,383.00,425.00,438880.00,10622.90,868.65,-37,16704,205.00,152.00
8934.00,[14:05:00.6519359],-9055.00,42609.00,443712.00,12236.95,3256.44,-37,23856,383.00,425.00,434640.00,10595.44,935.56,-37,15648,205.00,152.00
8935.00,[14:05:00.6620356],-6659.00,42093.00,446416.00,12245.28,3322.72,-37,23536,383.00,425.00,436016.00,10646.58,904.31,-37,15008,205.00,152.00
8936.00,[14:05:00.6721353],-4472.00,32372.00,447792.00,12223.35,3260.61,-37,23152,383.00,424.00,128000.00,10625.34,886.97,9,20224,204.89,151.33
8937.00,[14:05:00.6822350],-7832.00,40229.00,441904.00,12155.02,3213.16,-37,22992,383.00,424.00,431936.00,10586.67,869.56,-37,17824,205.00,151.00
8938.00,[14:05:00.6923347],-5434.00,36858.00,447248.00,12234.64,3269.63,-37,24016,383.00,424.00,429952.00,10624.15,881.40,-37,18336,205.00,151.00
8939.00,[14:05:00.7024344],-4355.00,45406.00,449888.00,12276.84,3287.88,-37,24336,383.00,424.00,437152.00,10587.74,930.64,-37,16992,205.00,151.00
8940.00,[14:05:00.7125341],6351.00,43232.00,459168.00,12238.29,3301.39,-37,23632,383.00,424.00,434832.00,10583.78,900.82,-37,15072,205.00,151.00
8941.00,[14:05:00.7226338],-7102.00,34971.00,446000.00,12246.01,3248.19,-37,24816,383.00,424.00,427056.00,10596.88,917.37,-37,15264,205.00,151.00
8942.00,[14:05:00.7327335],1173.00,38654.00,453136.00,12215.23,3264.28,-37,24432,383.00,424.00,429888.00,10573.90,925.18,-37,14912,205.00,151.00
8943.00,[14:05:00.7428333],-2548.00,34852.00,449056.00,12205.50,3205.62,-37,23184,383.00,425.00,141008.00,10615.64,902.43,10,19328,205.20,152.00
8944.00,[14:05:00.7529330],-8916.00,32878.00,442448.00,12199.03,3258.98,-37,24080,383.00,425.00,425344.00,10607.20,920.25,-37,16544,205.00,152.00
8945.00,[14:05:00.7630327],-6380.00,25898.00,447152.00,12257.61,3342.05,-37,24144,383.00,425.00,418752.00,10617.68,866.53,-37,15456,205.00,152.00
8946.00,[14:05:00.7731324],204.00,29997.00,454192.00,12269.95,3286.59,-37,26032,383.00,425.00,423984.00,10648.29,881.46,-37,13568,205.00,152.00
8947.00,[14:05:00.7832321],-664.00,40286.00,453280.00,12268.77,3253.62,-37,23984,383.00,425.00,434384.00,10651.30,892.84,-37,14336,205.00,152.00
8948.00,[14:05:00.7933318],-3552.00,38014.00,450224.00,12264.22,3317.84,-37,23984,383.00,425.00,430048.00,10595.50,915.00,-37,15040,205.00,152.00
8949.00,[14:05:00.8034316],275.00,41868.00,455472.00,12302.63,3263.35,-37,23696,383.00,425.00,434352.00,10607.67,870.17,-37,16032,205.00,152.00
