FrameNum,timeInfo,signal-stack,appsum-stack,avgbkg-stack,stdbkg-stack,nmaskpx-stack,maxpx-stack,xcentroid-stack,ycentroid-stack
4590.00,[17:09:46.6526421],26647.00,2688304.00,8396.39,793.20,-317,12304,494.00,331.00
4591.00,[17:09:46.6627416],33770.00,2688688.00,8375.14,786.02,-317,11376,494.00,331.00
4592.00,[17:09:46.6728411],18152.00,2668784.00,8361.61,787.54,-317,11344,494.00,331.00
4593.00,[17:09:46.6829406],32070.00,2681520.00,8357.89,814.27,-317,11664,494.00,331.00
4594.00,[17:09:46.6930401],33706.00,2696592.00,8400.27,802.87,-317,11536,494.00,331.00
4595.00,[17:09:46.7031396],50642.00,2712720.00,8397.72,768.87,-317,12464,494.00,331.00
4596.00,[17:09:46.7132391],32666.00,2690544.00,8384.47,770.92,-317,11376,494.00,331.00
4597.00,[17:09:46.7233386],28046.00,2679344.00,8363.72,781.49,-317,12304,494.00,331.00
4598.00,[17:09:46.7334381],41952.00,2691120.00,8357.00,776.96,-317,12144,494.00,331.00
4599.00,[17:09:46.7435376],22963.00,2667312.00,8341.79,774.02,-317,11216,494.00,331.00
4600.00,[17:09:46.7536371],30185.00,2684272.00,8372.52,797.04,-317,11728,494.00,331.00
4601.00,[17:09:46.7637366],12386.00,2668560.00,8379.10,794.62,-317,11344,494.00,331.00
4602.00,[17:09:46.7738361],23300.00,2673264.00,8359.51,786.19,-317,11888,494.00,331.00
4603.00,[17:09:46.7839356],21764.00,2675664.00,8371.92,797.37,-317,11408,494.00,331.00
4604.00,[17:09:46.7940351],36445.00,2690704.00,8373.06,804.22,-317,11248,494.00,331.00
4605.00,[17:09:46.8041346],7293.00,2654384.00,8350.44,794.95,-317,10960,494.00,331.00
4606.00,[17:09:46.8142341],16168.00,2669904.00,8371.41,777.14,-317,11120,494.00,331.00
4607.00,[17:09:46.8243336],80525.00,2739648.00,8388.40,797.70,-317,13504,494.00,331.00
4608.00,[17:09:46.8344332],32440.00,2683168.00,8361.92,788.60,-317,13152,494.00,331.00
4609.00,[17:09:46.8445327],47635.00,2700720.00,8369.35,790.37,-317,14816,494.00,331.00
4610.00,[17:09:46.8546322],33289.00,133568.00,8356.60,794.99,12,12736,492.08,330.83
4611.00,[17:09:46.8647317],26561.00,110240.00,8367.86,810.75,10,13248,492.40,330.10
4612.00,[17:09:46.8748312],30342.00,2684176.00,8371.72,773.62,-317,11824,492.00,330.00
4613.00,[17:09:46.8849307],27812.00,2678768.00,8362.64,787.02,-317,11184,492.00,330.00
4614.00,[17:09:46.8950303],8106.00,2660528.00,8367.26,768.07,-317,11696,492.00,330.00
4615.00,[17:09:46.9051298],39163.00,2705296.00,8410.51,765.32,-317,11824,492.00,330.00
4616.00,[17:09:46.9152293],34947.00,2698992.00,8403.93,783.04,-317,11920,492.00,330.00
4617.00,[17:09:46.9253288],27455.00,2687856.00,8392.43,812.58,-317,11696,492.00,330.00
4618.00,[17:09:46.9354283],33806.00,2696992.00,8401.22,784.05,-317,13152,492.00,330.00
4619.00,[17:09:46.9455279],35525.00,2695184.00,8390.09,784.95,-317,11888,492.00,330.00
4620.00,[17:09:46.9556274],40270.00,2696752.00,8380.07,806.71,-317,11824,492.00,330.00
4621.00,[17:09:46.9657269],36335.00,2686432.00,8359.93,791.53,-317,12736,492.00,330.00
4622.00,[17:09:46.9758265],49387.00,2700400.00,8362.82,801.89,-317,13600,492.00,330.00
4623.00,[17:09:46.9859260],28800.00,2687088.00,8385.77,796.49,-317,11792,492.00,330.00
4624.00,[17:09:46.9960255],30233.00,2689808.00,8389.83,786.22,-317,11184,492.00,330.00
4625.00,[17:09:47.0061362],13585.00,2670320.00,8380.87,800.31,-317,11440,492.00,330.00
4626.00,[17:09:47.0162357],34355.00,2675888.00,8332.91,788.02,-317,12016,492.00,330.00
4627.00,[17:09:47.0263352],54120.00,2703136.00,8356.52,792.74,-317,12608,492.00,330.00
4628.00,[17:09:47.0364348],60224.00,2720320.00,8391.47,792.33,-317,12608,492.00,330.00
4629.00,[17:09:47.0465343],52379.00,2711408.00,8388.10,797.34,-317,11632,492.00,330.00
4630.00,[17:09:47.0566338],5673.00,2666640.00,8394.22,785.89,-317,11760,492.00,330.00
4631.00,[17:09:47.0667334],34408.00,2684864.00,8361.06,786.25,-317,14688,492.00,330.00
4632.00,[17:09:47.0768329],32870.00,2696080.00,8401.29,792.70,-317,11536,492.00,330.00
4633.00,[17:09:47.0869325],63118.00,2725856.00,8399.80,782.14,-317,12608,492.00,330.00
4634.00,[17:09:47.0970320],66310.00,2713648.00,8351.22,803.72,-317,12176,492.00,330.00
4635.00,[17:09:47.1071316],19552.00,2670192.00,8361.64,789.97,-317,11632,492.00,330.00
4636.00,[17:09:47.1172311],44671.00,2692544.00,8352.91,791.04,-317,12576,492.00,330.00
4637.00,[17:09:47.1273307],42214.00,2708528.00,8411.08,803.91,-317,11728,492.00,330.00
4638.00,[17:09:47.1374302],54304.00,2708208.00,8371.94,794.45,-317,11184,492.00,330.00
4639.00,[17:09:47.1475298],19978.00,2664144.00,8341.22,785.21,-317,11888,492.00,330.00
4640.00,[17:09:47.1576293],38722.00,2693040.00,8373.24,796.87,-317,12208,492.00,330.00
4641.00,[17:09:47.1677289],49535.00,200800.00,8403.63,795.93,18,14784,492.56,331.39
4642.00,[17:09:47.1778284],23770.00,2671344.00,8351.97,804.49,-317,11792,493.00,331.00
4643.00,[17:09:47.1879280],30765.00,2678608.00,8352.82,780.59,-317,11568,493.00,331.00
4644.00,[17:09:47.1980276],15061.00,2662608.00,8351.88,785.28,-317,11408,493.00,331.00
4645.00,[17:09:47.2081271],22422.00,2680784.00,8386.00,814.42,-317,11888,493.00,331.00
4646.00,[17:09:47.2182267],31767.00,2685616.00,8371.76,802.19,-317,11824,493.00,331.00
4647.00,[17:09:47.2283262],53312.00,2711280.00,8384.76,780.87,-317,11472,493.00,331.00
4648.00,[17:09:47.2384258],33830.00,2687552.00,8371.36,785.12,-317,13536,493.00,331.00
4649.00,[17:09:47.2485254],13414.00,2668336.00,8375.15,785.23,-317,11344,493.00,331.00
4650.00,[17:09:47.2586249],28857.00,2693584.00,8406.08,789.62,-317,11728,493.00,331.00
4651.00,[17:09:47.2687245],4228.00,2651568.00,8351.23,791.42,-317,11152,493.00,331.00
4652.00,[17:09:47.2788241],29032.00,2687792.00,8387.25,793.35,-317,11216,493.00,331.00
4653.00,[17:09:47.2889236],27898.00,2683120.00,8376.10,772.77,-317,11280,493.00,331.00
4654.00,[17:09:47.2990232],21608.00,2682192.00,8393.01,786.78,-317,11952,493.00,331.00
4655.00,[17:09:47.3091228],60578.00,2723936.00,8401.76,794.07,-317,12928,493.00,331.00
4656.00,[17:09:47.3192224],57154.00,2707664.00,8361.23,784.44,-317,12112,493.00,331.00
4657.00,[17:09:47.3293219],48610.00,2696416.00,8352.70,810.76,-317,12800,493.00,331.00
4658.00,[17:09:47.3394215],32163.00,2681760.00,8358.35,804.67,-317,12800,493.00,331.00
4659.00,[17:09:47.3495211],48228.00,2704544.00,8379.54,788.59,-317,13024,493.00,331.00
4660.00,[17:09:47.3596207],36311.00,2690208.00,8371.91,803.56,-317,12544,493.00,331.00
4661.00,[17:09:47.3697203],59799.00,2727552.00,8415.62,776.86,-317,13056,493.00,331.00
4662.00,[17:09:47.3798198],31042.00,2688272.00,8382.43,777.76,-317,12208,493.00,331.00
4663.00,[17:09:47.3899194],6353.00,2661904.00,8377.13,779.50,-317,11824,493.00,331.00
4664.00,[17:09:47.4000190],44065.00,2704208.00,8391.62,777.33,-317,11856,493.00,331.00
4665.00,[17:09:47.4101186],11852.00,2661680.00,8359.08,784.95,-317,10992,493.00,331.00
4666.00,[17:09:47.4202182],39323.00,2693968.00,8374.27,781.66,-317,11792,493.00,331.00
4667.00,[17:09:47.4303178],49405.00,2708016.00,8386.79,809.17,-317,11696,493.00,331.00
4668.00,[17:09:47.4404174],22548.00,2679120.00,8380.35,783.33,-317,11568,493.00,331.00
4669.00,[17:09:47.4505170],19750.00,2669680.00,8359.40,773.16,-317,10928,493.00,331.00
4670.00,[17:09:47.4606166],49115.00,2693360.00,8341.47,775.13,-317,12304,493.00,331.00
4671.00,[17:09:47.4707161],46585.00,2692608.00,8347.08,788.05,-317,13536,493.00,331.00
4672.00,[17:09:47.4808157],44147.00,2701120.00,8381.62,791.49,-317,12672,493.00,331.00
4673.00,[17:09:47.4909153],68578.00,2723552.00,8375.31,798.26,-317,12992,493.00,331.00
4674.00,[17:09:47.5010149],52859.00,2708064.00,8376.04,796.98,-317,12800,493.00,331.00
4675.00,[17:09:47.5111145],47864.00,2701952.00,8372.52,802.30,-317,13440,493.00,331.00
4676.00,[17:09:47.5212141],52761.00,2714016.00,8395.13,796.43,-317,15008,493.00,331.00
4677.00,[17:09:47.5313137],27674.00,2686064.00,8386.09,794.20,-317,12528,493.00,331.00
4678.00,[17:09:47.5414134],22502.00,2676496.00,8372.22,806.72,-317,11504,493.00,331.00
4679.00,[17:09:47.5515130],63551.00,2715680.00,8366.34,799.95,-317,12544,493.00,331.00
4680.00,[17:09:47.5616126],7312.00,2656976.00,8358.56,778.63,-317,12336,493.00,331.00
4681.00,[17:09:47.5717122],56495.00,2716720.00,8391.88,773.46,-317,12304,493.00,331.00
4682.00,[17:09:47.5818118],43740.00,2707184.00,8402.03,816.41,-317,11312,493.00,331.00
4683.00,[17:09:47.5919114],30831.00,2689072.00,8385.62,787.85,-317,11504,493.00,331.00
4684.00,[17:09:47.6020110],81228.00,2738864.00,8383.71,792.30,-317,10960,493.00,331.00
