FrameNum,timeInfo,signal-stack,appsum-stack,avgbkg-stack,stdbkg-stack,nmaskpx-stack,maxpx-stack,xcentroid-stack,ycentroid-stack
4500.00,[17:34:45.8421095],35885.00,2165712.00,14294.14,1071.10,-149,18880,362.00,246.00
4501.00,[17:34:45.8522091],23481.00,2144576.00,14235.54,993.38,-149,18336,362.00,246.00
4502.00,[17:34:45.8623086],38426.00,2157088.00,14219.20,999.84,-149,18496,362.00,246.00
4503.00,[17:34:45.8724082],22565.00,2142864.00,14230.19,1002.09,-149,17376,362.00,246.00
4504.00,[17:34:45.8825077],41895.00,2165312.00,14251.12,1058.88,-149,18336,362.00,246.00
4505.00,[17:34:45.8926073],64097.00,2194640.00,14298.94,1049.53,-149,19648,362.00,246.00
4506.00,[17:34:45.9027068],50337.00,2181472.00,14302.92,1104.25,-149,19392,362.00,246.00
4507.00,[17:34:45.9128064],13437.00,2142768.00,14290.81,1030.65,-149,17664,362.00,246.00
4508.00,[17:34:45.9229059],18657.00,2149472.00,14300.77,1013.61,-149,17568,362.00,246.00
4509.00,[17:34:45.9330055],57509.00,2185888.00,14284.42,1030.53,-149,18400,362.00,246.00
4510.00,[17:34:45.9431050],61351.00,2195056.00,14320.17,1023.04,-149,18848,362.00,246.00
4511.00,[17:34:45.9532046],77889.00,2203200.00,14263.83,1076.70,-149,19296,362.00,246.00
4512.00,[17:34:45.9633041],20788.00,2149472.00,14286.47,1048.73,-149,18496,362.00,246.00
4513.00,[17:34:45.9734037],22153.00,2147184.00,14261.95,998.34,-149,19936,362.00,246.00
4514.00,[17:34:45.9835032],44111.00,2160560.00,14204.35,1033.42,-149,18624,362.00,246.00
4515.00,[17:34:45.9936028],49122.00,2173792.00,14259.53,1070.62,-149,17728,362.00,246.00
4516.00,[17:34:46.0037103],36450.00,2152928.00,14204.55,1036.86,-149,17440,362.00,246.00
4517.00,[17:34:46.0138098],10177.00,2131776.00,14238.92,1019.73,-149,18272,362.00,246.00
4518.00,[17:34:46.0239094],26542.00,2151760.00,14263.21,1023.33,-149,18016,362.00,246.00
4519.00,[17:34:46.0340090],36628.00,2155232.00,14218.82,1037.51,-149,18560,362.00,246.00
4520.00,[17:34:46.0441085],3002.00,2123408.00,14230.91,1018.08,-149,17280,362.00,246.00
4521.00,[17:34:46.0542081],23775.00,2148720.00,14261.38,981.78,-149,17632,362.00,246.00
4522.00,[17:34:46.0643077],59294.00,2195760.00,14338.70,1059.80,-149,19008,362.00,246.00
4523.00,[17:34:46.0744072],32853.00,2163072.00,14296.77,1010.37,-149,18112,362.00,246.00
4524.00,[17:34:46.0845068],54489.00,2180528.00,14268.72,1053.04,-149,18976,362.00,246.00
4525.00,[17:34:46.0946064],34109.00,2160176.00,14268.90,1015.17,-149,17760,362.00,246.00
4526.00,[17:34:46.1047059],30567.00,2149568.00,14221.48,1034.88,-149,18848,362.00,246.00
4527.00,[17:34:46.1148055],46820.00,2172192.00,14264.24,1014.48,-149,18112,362.00,246.00
4528.00,[17:34:46.1249051],5666.00,2124928.00,14223.23,1022.72,-149,17760,362.00,246.00
4529.00,[17:34:46.1350047],24341.00,2136880.00,14178.11,1020.97,-149,18496,362.00,246.00
4530.00,[17:34:46.1451043],15478.00,2134368.00,14220.74,1012.21,-149,17472,362.00,246.00
4531.00,[17:34:46.1552038],27787.00,2153776.00,14268.38,972.46,-149,19296,362.00,246.00
4532.00,[17:34:46.1653034],27112.00,2144816.00,14212.78,1085.90,-149,17888,362.00,246.00
4533.00,[17:34:46.1754030],25464.00,2154768.00,14290.63,983.90,-149,17440,362.00,246.00
4534.00,[17:34:46.1855026],14175.00,2133152.00,14221.32,1017.64,-149,18048,362.00,246.00
4535.00,[17:34:46.1956022],676.00,2125152.00,14258.23,972.61,-149,17216,362.00,246.00
4536.00,[17:34:46.2057018],22568.00,2134256.00,14172.40,994.21,-149,17440,362.00,246.00
4537.00,[17:34:46.2158013],29376.00,2151680.00,14243.65,1032.11,-149,19008,362.00,246.00
4538.00,[17:34:46.2259009],32897.00,2160256.00,14277.58,1021.52,-149,17664,362.00,246.00
4539.00,[17:34:46.2360005],3828.00,2121088.00,14209.80,1025.87,-149,18112,362.00,246.00
4540.00,[17:34:46.2461001],13739.00,2133504.00,14226.61,999.66,-149,17664,362.00,246.00
4541.00,[17:34:46.2561997],23364.00,2146176.00,14247.06,1070.01,-149,17888,362.00,246.00
4542.00,[17:34:46.2662993],36852.00,2167344.00,14298.61,1029.28,-149,17984,362.00,246.00
4543.00,[17:34:46.2763989],28261.00,2154288.00,14268.64,1036.29,-149,18400,362.00,246.00
4544.00,[17:34:46.2864985],21766.00,2151008.00,14290.21,1014.07,-149,17664,362.00,246.00
4545.00,[17:34:46.2965981],13945.00,2142272.00,14284.07,1019.26,-149,18016,362.00,246.00
4546.00,[17:34:46.3066977],11474.00,2137888.00,14271.23,990.13,-149,17248,362.00,246.00
4547.00,[17:34:46.3167973],593.00,2121088.00,14231.51,1052.21,-149,17824,362.00,246.00
4548.00,[17:34:46.3268969],27125.00,2151936.00,14260.48,986.97,-149,17824,362.00,246.00
4549.00,[17:34:46.3369965],12834.00,2125696.00,14180.28,1019.51,-149,17568,362.00,246.00
4550.00,[17:34:46.3470961],17021.00,2134112.00,14208.67,983.32,-149,17248,362.00,246.00
4551.00,[17:34:46.3571957],11361.00,2137360.00,14268.45,1020.41,-149,18976,362.00,246.00
4552.00,[17:34:46.3672954],51447.00,2175904.00,14258.10,1042.90,-149,19008,362.00,246.00
4553.00,[17:34:46.3773950],42205.00,2160512.00,14216.83,1028.06,-149,19008,362.00,246.00
4554.00,[17:34:46.3874946],57279.00,2184496.00,14276.62,1024.24,-149,21264,362.00,246.00
4555.00,[17:34:46.3975942],37760.00,2163648.00,14267.70,1034.65,-149,18464,362.00,246.00
4556.00,[17:34:46.4076938],13071.00,2133040.00,14227.98,1004.57,-149,17344,362.00,246.00
4557.00,[17:34:46.4177934],12001.00,2133840.00,14240.53,1076.89,-149,17408,362.00,246.00
4558.00,[17:34:46.4278931],29307.00,2138160.00,14153.37,1013.32,-149,17408,362.00,246.00
4559.00,[17:34:46.4379927],9300.00,2129152.00,14227.20,1021.35,-149,17760,362.00,246.00
4560.00,[17:34:46.4480923],15870.00,2144080.00,14283.29,1028.53,-149,17728,362.00,246.00
4561.00,[17:34:46.4581919],21515.00,2142752.00,14236.49,998.60,-149,17632,362.00,246.00
4562.00,[17:34:46.4682915],22198.00,2142336.00,14229.11,1039.70,-149,17280,362.00,246.00
4563.00,[17:34:46.4783912],680.00,2130272.00,14292.56,1051.84,-149,18112,362.00,246.00
4564.00,[17:34:46.4884908],20166.00,2153248.00,14315.99,1002.50,-149,18624,362.00,246.00
4565.00,[17:34:46.4985904],27538.00,2145056.00,14211.53,1027.27,-149,17696,362.00,246.00
4566.00,[17:34:46.5086901],21628.00,2149600.00,14281.69,1001.11,-149,18048,362.00,246.00
4567.00,[17:34:46.5187897],20253.00,2141552.00,14236.90,991.72,-149,17280,362.00,246.00
4568.00,[17:34:46.5288893],30484.00,2149952.00,14224.62,1020.06,-149,17952,362.00,246.00
4569.00,[17:34:46.5389890],15499.00,2140032.00,14258.61,995.66,-149,17376,362.00,246.00
4570.00,[17:34:46.5490886],43466.00,2167776.00,14257.12,1023.62,-149,17600,362.00,246.00
4571.00,[17:34:46.5591882],41386.00,2166368.00,14261.63,1020.33,-149,17568,362.00,246.00
4572.00,[17:34:46.5692879],15082.00,2134448.00,14223.93,1029.10,-149,17376,362.00,246.00
4573.00,[17:34:46.5793875],28652.00,2153280.00,14259.25,1023.46,-149,17152,362.00,246.00
4574.00,[17:34:46.5894872],15781.00,2146544.00,14300.42,1002.60,-149,16896,362.00,246.00
4575.00,[17:34:46.5995868],37644.00,2163936.00,14270.42,1026.99,-149,18432,362.00,246.00
4576.00,[17:34:46.6096864],29028.00,2162368.00,14317.72,1044.85,-149,18752,362.00,246.00
4577.00,[17:34:46.6197861],45842.00,2160336.00,14191.23,1086.20,-149,17824,362.00,246.00
4578.00,[17:34:46.6298857],31254.00,2158544.00,14277.12,1027.40,-149,18720,362.00,246.00
4579.00,[17:34:46.6399854],29048.00,2158240.00,14289.88,1012.00,-149,17728,362.00,246.00
4580.00,[17:34:46.6500850],23217.00,2147840.00,14259.21,1004.73,-149,18144,362.00,246.00
4581.00,[17:34:46.6601847],40403.00,2168880.00,14285.08,1053.29,-149,19680,362.00,246.00
4582.00,[17:34:46.6702844],51266.00,2184272.00,14315.48,1063.48,-149,19744,362.00,246.00
4583.00,[17:34:46.6803840],60474.00,2190576.00,14295.98,1021.72,-149,21264,362.00,246.00
4584.00,[17:34:46.6904837],53707.00,2195248.00,14372.76,1118.17,-149,21712,364.00,247.00
4585.00,[17:34:46.7005833],12581.00,2157744.00,14397.07,1087.56,-149,18368,364.00,247.00
4586.00,[17:34:46.7106830],21829.00,2161728.00,14361.74,1097.62,-149,17984,364.00,247.00
4587.00,[17:34:46.7207826],15608.00,2149824.00,14323.60,1082.01,-149,17792,364.00,247.00
4588.00,[17:34:46.7308823],32907.00,2176096.00,14383.82,1061.74,-149,18048,364.00,247.00
4589.00,[17:34:46.7409820],4400.00,2145056.00,14366.82,1116.70,-149,18464,364.00,247.00
4590.00,[17:34:46.7510816],18655.00,2150608.00,14308.41,1096.18,-149,18176,364.00,247.00
4591.00,[17:34:46.7611813],17078.00,2155824.00,14354.00,1082.62,-149,18336,364.00,247.00
4592.00,[17:34:46.7712810],22298.00,2172512.00,14430.97,1076.90,-149,19616,364.00,247.00
4593.00,[17:34:46.7813806],10689.00,2151888.00,14370.46,1051.68,-149,17728,364.00,247.00
